Intern_ID,Name,Age,Gender,Education_Level,Location,Department,Duration,Stipend,Mentor_Assigned,Mentor_Meetings,Tasks_Completed,Attendance_%,Status
INT0001,Intern_1,27,Male,Undergraduate,Islamabad,Marketing,1 Month,Paid,No,0,6,79.5,Completed
INT0002,Intern_2,27,Male,Undergraduate,Karachi,IT,1 Month,Paid,Yes,13,15,72.5,Enrolled
INT0003,Intern_3,22,Female,Graduate,Quetta,Engineering,1 Month,Paid,Yes,10,7,54.6,Dropped
INT0004,Intern_4,25,Female,Undergraduate,Bahawalpur,Marketing,3 Months,Paid,No,0,6,77.6,Dropped
INT0005,Intern_5,20,Male,Undergraduate,Peshawar,Legal,3 Months,Unpaid,Yes,7,7,69.0,Completed
INT0006,Intern_6,20,Female,Graduate,Peshawar,Operations,3 Months,Unpaid,Yes,19,41,58.6,Completed
INT0007,Intern_7,19,Female,Graduate,Peshawar,HR,2 Months,Unpaid,No,0,15,91.1,Completed
INT0008,Intern_8,26,Male,Undergraduate,Multan,Data Science,6 Months,Paid,No,0,26,94.2,Dropped
INT0009,Intern_9,28,Male,Undergraduate,Quetta,Operations,2 Months,Unpaid,No,0,26,68.1,Dropped
INT0010,Intern_10,25,Male,Undergraduate,Islamabad,Finance,6 Months,Paid,Yes,19,5,69.2,Dropped
INT0011,Intern_11,24,Male,PhD,Lahore,Legal,6 Months,Unpaid,No,0,8,64.7,Completed
INT0012,Intern_12,23,Female,PhD,Islamabad,Finance,6 Months,Paid,Yes,20,33,80.4,Dropped
INT0013,Intern_13,19,Male,PhD,Multan,Finance,3 Months,Unpaid,Yes,3,24,93.9,Dropped
INT0014,Intern_14,26,Male,PhD,Lahore,Engineering,2 Months,Paid,Yes,2,49,76.6,Completed
INT0015,Intern_15,27,Male,Graduate,Faisalabad,Finance,2 Months,Paid,No,0,49,86.5,Completed
INT0016,Intern_16,22,Female,Graduate,Bahawalpur,HR,3 Months,Paid,No,0,15,53.2,Completed
INT0017,Intern_17,20,Male,Undergraduate,Karachi,IT,2 Months,Paid,Yes,1,22,53.5,Completed
INT0018,Intern_18,22,Male,PhD,Islamabad,HR,3 Months,Unpaid,No,0,31,90.4,Completed
INT0019,Intern_19,26,Female,Graduate,Faisalabad,HR,1 Month,Unpaid,Yes,1,44,82.7,Completed
INT0020,Intern_20,22,Female,Undergraduate,Peshawar,Marketing,1 Month,Paid,No,0,35,72.4,Completed
INT0021,Intern_21,27,Female,Undergraduate,Lahore,Design,2 Months,Unpaid,No,0,7,52.5,Dropped
INT0022,Intern_22,26,Male,Undergraduate,Faisalabad,Sales,1 Month,Unpaid,Yes,6,26,95.1,Completed
INT0023,Intern_23,25,Female,Graduate,Bahawalpur,Finance,6 Months,Unpaid,Yes,17,43,85.9,Completed
INT0024,Intern_24,19,Male,Undergraduate,Karachi,Finance,2 Months,Unpaid,No,0,4,79.2,Completed
INT0025,Intern_25,22,Male,Undergraduate,Lahore,Sales,2 Months,Paid,Yes,12,8,97.1,Completed
INT0026,Intern_26,22,Male,Graduate,Multan,Legal,2 Months,Unpaid,Yes,10,16,63.3,Dropped
INT0027,Intern_27,28,Female,Undergraduate,Karachi,Finance,3 Months,Unpaid,No,0,37,99.8,Completed
INT0028,Intern_28,24,Male,Graduate,Lahore,Marketing,2 Months,Paid,No,0,19,57.9,Completed
INT0029,Intern_29,23,Female,PhD,Lahore,Sales,3 Months,Paid,Yes,3,7,87.1,Completed
INT0030,Intern_30,23,Male,PhD,Multan,Finance,3 Months,Paid,No,0,33,74.4,Completed
INT0031,Intern_31,21,Female,Undergraduate,Karachi,IT,1 Month,Unpaid,No,0,41,99.0,Dropped
INT0032,Intern_32,27,Male,Undergraduate,Lahore,Finance,6 Months,Paid,No,0,3,91.7,Completed
INT0033,Intern_33,19,Male,Undergraduate,Quetta,Legal,2 Months,Unpaid,No,0,23,60.5,Completed
INT0034,Intern_34,21,Female,PhD,Islamabad,HR,1 Month,Paid,No,0,12,94.1,Enrolled
INT0035,Intern_35,21,Female,PhD,Peshawar,IT,2 Months,Unpaid,No,0,45,55.4,Enrolled
INT0036,Intern_36,22,Male,Graduate,Multan,IT,6 Months,Unpaid,Yes,7,2,83.0,Completed
INT0037,Intern_37,27,Male,Graduate,Multan,Design,3 Months,Unpaid,No,0,22,97.0,Completed
INT0038,Intern_38,24,Female,Undergraduate,Lahore,Marketing,3 Months,Unpaid,Yes,10,28,80.3,Completed
INT0039,Intern_39,19,Male,Graduate,Karachi,Sales,1 Month,Unpaid,No,0,34,96.3,Dropped
INT0040,Intern_40,20,Female,Undergraduate,Multan,Sales,2 Months,Unpaid,No,0,47,95.0,Completed
INT0041,Intern_41,22,Female,Graduate,Quetta,Sales,3 Months,Paid,No,0,27,83.2,Completed
INT0042,Intern_42,23,Female,PhD,Karachi,Design,2 Months,Unpaid,No,0,14,71.5,Dropped
INT0043,Intern_43,21,Female,Graduate,Peshawar,Legal,3 Months,Unpaid,No,0,43,54.2,Completed
INT0044,Intern_44,22,Male,PhD,Quetta,Sales,3 Months,Paid,Yes,4,2,52.3,Dropped
INT0045,Intern_45,26,Female,PhD,Peshawar,Operations,1 Month,Unpaid,No,0,26,62.2,Completed
INT0046,Intern_46,27,Male,Undergraduate,Bahawalpur,IT,1 Month,Paid,No,0,16,95.9,Dropped
INT0047,Intern_47,28,Female,PhD,Multan,Marketing,6 Months,Unpaid,Yes,16,28,91.5,Completed
INT0048,Intern_48,23,Female,Graduate,Quetta,Sales,6 Months,Paid,Yes,16,32,81.3,Completed
INT0049,Intern_49,24,Female,Undergraduate,Quetta,Engineering,6 Months,Unpaid,Yes,17,6,56.9,Completed
INT0050,Intern_50,24,Male,Undergraduate,Faisalabad,HR,6 Months,Unpaid,Yes,17,30,70.8,Completed
INT0051,Intern_51,19,Male,PhD,Faisalabad,HR,6 Months,Unpaid,No,0,23,64.9,Enrolled
INT0052,Intern_52,26,Female,Undergraduate,Quetta,Design,6 Months,Unpaid,Yes,0,25,66.8,Dropped
INT0053,Intern_53,28,Male,PhD,Karachi,Design,2 Months,Unpaid,No,0,37,83.1,Enrolled
INT0054,Intern_54,25,Female,Undergraduate,Karachi,Marketing,6 Months,Unpaid,Yes,10,14,72.7,Enrolled
INT0055,Intern_55,19,Female,Graduate,Lahore,Data Science,6 Months,Unpaid,No,0,48,77.0,Completed
INT0056,Intern_56,19,Male,Undergraduate,Peshawar,Data Science,2 Months,Paid,Yes,19,10,61.9,Enrolled
INT0057,Intern_57,21,Female,PhD,Quetta,Operations,1 Month,Unpaid,Yes,19,39,98.2,Completed
INT0058,Intern_58,28,Male,PhD,Karachi,Marketing,2 Months,Unpaid,No,0,44,95.4,Completed
INT0059,Intern_59,23,Male,PhD,Peshawar,Design,6 Months,Paid,Yes,19,8,89.8,Completed
INT0060,Intern_60,27,Female,PhD,Multan,Legal,1 Month,Paid,No,0,42,67.1,Completed
INT0061,Intern_61,25,Female,Graduate,Bahawalpur,Design,6 Months,Paid,Yes,5,47,76.1,Completed
INT0062,Intern_62,22,Female,PhD,Quetta,Engineering,6 Months,Unpaid,No,0,6,63.9,Completed
INT0063,Intern_63,24,Female,Graduate,Karachi,Operations,2 Months,Unpaid,No,0,12,74.4,Dropped
INT0064,Intern_64,27,Female,PhD,Quetta,Data Science,3 Months,Paid,No,0,13,54.3,Completed
INT0065,Intern_65,19,Female,PhD,Bahawalpur,Design,6 Months,Unpaid,Yes,2,19,61.1,Completed
INT0066,Intern_66,27,Female,PhD,Multan,HR,3 Months,Unpaid,No,0,22,67.6,Dropped
INT0067,Intern_67,24,Female,Undergraduate,Lahore,Operations,3 Months,Paid,No,0,8,87.1,Completed
INT0068,Intern_68,22,Female,Graduate,Quetta,Finance,2 Months,Paid,Yes,9,15,68.0,Dropped
INT0069,Intern_69,21,Female,Undergraduate,Karachi,Engineering,1 Month,Unpaid,Yes,20,49,74.5,Completed
INT0070,Intern_70,19,Female,Graduate,Multan,IT,3 Months,Paid,No,0,17,97.1,Enrolled
INT0071,Intern_71,21,Female,Graduate,Lahore,Operations,1 Month,Paid,Yes,4,37,97.5,Completed
INT0072,Intern_72,26,Female,PhD,Peshawar,Marketing,2 Months,Unpaid,Yes,14,20,93.0,Completed
INT0073,Intern_73,20,Male,Undergraduate,Peshawar,Design,3 Months,Unpaid,Yes,5,16,58.7,Completed
INT0074,Intern_74,19,Female,Graduate,Bahawalpur,Marketing,2 Months,Unpaid,Yes,7,19,85.3,Dropped
INT0075,Intern_75,20,Female,PhD,Peshawar,Operations,1 Month,Unpaid,Yes,17,15,82.4,Dropped
INT0076,Intern_76,26,Male,Undergraduate,Quetta,Engineering,2 Months,Unpaid,Yes,3,30,84.4,Completed
INT0077,Intern_77,24,Female,Undergraduate,Karachi,Design,3 Months,Unpaid,No,0,39,62.5,Dropped
INT0078,Intern_78,26,Female,PhD,Karachi,Marketing,2 Months,Paid,Yes,16,42,72.1,Completed
INT0079,Intern_79,25,Female,Undergraduate,Bahawalpur,Engineering,2 Months,Unpaid,No,0,22,66.1,Completed
INT0080,Intern_80,25,Female,PhD,Bahawalpur,Marketing,2 Months,Unpaid,No,0,49,77.5,Completed
INT0081,Intern_81,27,Female,Graduate,Lahore,Operations,1 Month,Unpaid,No,0,1,82.9,Dropped
INT0082,Intern_82,26,Male,Undergraduate,Multan,Sales,6 Months,Unpaid,No,0,49,52.6,Dropped
INT0083,Intern_83,19,Female,PhD,Bahawalpur,Engineering,2 Months,Paid,No,0,41,80.4,Completed
INT0084,Intern_84,22,Male,PhD,Faisalabad,HR,2 Months,Paid,No,0,8,73.1,Completed
INT0085,Intern_85,26,Female,PhD,Quetta,Marketing,2 Months,Unpaid,No,0,31,62.2,Completed
INT0086,Intern_86,23,Male,PhD,Islamabad,Sales,2 Months,Paid,No,0,50,89.5,Completed
INT0087,Intern_87,21,Male,Graduate,Quetta,Design,3 Months,Unpaid,No,0,29,76.9,Dropped
INT0088,Intern_88,28,Female,Graduate,Peshawar,Data Science,3 Months,Paid,No,0,25,61.7,Dropped
INT0089,Intern_89,21,Female,PhD,Faisalabad,Design,1 Month,Unpaid,No,0,32,98.2,Enrolled
INT0090,Intern_90,21,Female,Undergraduate,Bahawalpur,Finance,3 Months,Paid,Yes,13,42,98.5,Completed
INT0091,Intern_91,24,Female,PhD,Faisalabad,Marketing,6 Months,Paid,No,0,44,93.0,Completed
INT0092,Intern_92,23,Male,PhD,Lahore,Design,3 Months,Paid,No,0,15,87.3,Dropped
INT0093,Intern_93,19,Female,Undergraduate,Quetta,Design,1 Month,Paid,Yes,10,4,64.7,Dropped
INT0094,Intern_94,21,Male,PhD,Faisalabad,Data Science,6 Months,Paid,Yes,5,6,80.5,Completed
INT0095,Intern_95,26,Male,Undergraduate,Bahawalpur,Design,2 Months,Unpaid,No,0,17,83.3,Dropped
INT0096,Intern_96,25,Male,Graduate,Multan,Operations,3 Months,Unpaid,Yes,8,30,92.3,Completed
INT0097,Intern_97,28,Male,Undergraduate,Faisalabad,HR,6 Months,Unpaid,No,0,19,99.6,Completed
INT0098,Intern_98,23,Female,Undergraduate,Karachi,Engineering,1 Month,Unpaid,No,0,50,89.9,Completed
INT0099,Intern_99,20,Male,PhD,Quetta,Legal,3 Months,Paid,Yes,20,42,52.0,Completed
INT0100,Intern_100,25,Male,Undergraduate,Quetta,Operations,1 Month,Unpaid,No,0,12,60.0,Completed
INT0101,Intern_101,24,Male,Graduate,Bahawalpur,Sales,3 Months,Unpaid,No,0,8,73.4,Completed
INT0102,Intern_102,25,Female,PhD,Multan,Marketing,2 Months,Paid,Yes,0,17,76.8,Dropped
INT0103,Intern_103,22,Female,PhD,Multan,Operations,3 Months,Paid,No,0,31,51.3,Completed
INT0104,Intern_104,25,Male,PhD,Bahawalpur,Sales,3 Months,Unpaid,Yes,3,9,52.3,Completed
INT0105,Intern_105,25,Male,Undergraduate,Peshawar,IT,3 Months,Paid,No,0,30,68.6,Enrolled
INT0106,Intern_106,28,Female,PhD,Lahore,Sales,6 Months,Unpaid,Yes,13,18,51.6,Completed
INT0107,Intern_107,24,Female,Undergraduate,Multan,Data Science,2 Months,Paid,No,0,35,95.1,Completed
INT0108,Intern_108,20,Female,Undergraduate,Lahore,Data Science,1 Month,Unpaid,No,0,43,60.6,Dropped
INT0109,Intern_109,20,Female,Undergraduate,Islamabad,Legal,1 Month,Paid,Yes,17,14,79.3,Completed
INT0110,Intern_110,27,Male,Graduate,Islamabad,HR,3 Months,Paid,Yes,8,12,55.5,Completed
INT0111,Intern_111,21,Female,Undergraduate,Multan,IT,2 Months,Paid,Yes,8,4,56.3,Completed
INT0112,Intern_112,26,Female,Graduate,Multan,Design,1 Month,Paid,Yes,16,15,97.3,Completed
INT0113,Intern_113,25,Male,Undergraduate,Bahawalpur,IT,3 Months,Unpaid,No,0,44,55.4,Enrolled
INT0114,Intern_114,21,Female,PhD,Islamabad,Operations,1 Month,Paid,Yes,8,40,81.7,Dropped
INT0115,Intern_115,20,Female,Graduate,Faisalabad,Sales,3 Months,Paid,No,0,42,82.5,Completed
INT0116,Intern_116,26,Female,Undergraduate,Faisalabad,Sales,2 Months,Unpaid,No,0,26,70.8,Enrolled
INT0117,Intern_117,21,Female,PhD,Quetta,Marketing,3 Months,Unpaid,No,0,44,96.1,Dropped
INT0118,Intern_118,21,Male,Graduate,Lahore,Marketing,1 Month,Unpaid,Yes,17,4,79.3,Completed
INT0119,Intern_119,23,Female,Graduate,Faisalabad,Sales,3 Months,Paid,Yes,19,20,67.6,Dropped
INT0120,Intern_120,27,Female,Undergraduate,Lahore,Legal,2 Months,Unpaid,Yes,11,8,88.1,Completed
INT0121,Intern_121,21,Male,PhD,Quetta,Legal,2 Months,Paid,No,0,18,85.1,Dropped
INT0122,Intern_122,20,Male,Undergraduate,Islamabad,Engineering,3 Months,Unpaid,No,0,10,87.0,Enrolled
INT0123,Intern_123,21,Female,Graduate,Bahawalpur,IT,1 Month,Unpaid,Yes,11,20,86.1,Completed
INT0124,Intern_124,23,Male,Undergraduate,Karachi,Legal,1 Month,Paid,Yes,14,43,71.2,Completed
INT0125,Intern_125,25,Female,Undergraduate,Lahore,Legal,6 Months,Unpaid,No,0,8,64.2,Completed
INT0126,Intern_126,19,Male,Undergraduate,Faisalabad,Legal,6 Months,Paid,No,0,14,65.1,Completed
INT0127,Intern_127,26,Female,Graduate,Lahore,HR,2 Months,Paid,No,0,48,71.5,Dropped
INT0128,Intern_128,25,Female,Undergraduate,Faisalabad,Finance,6 Months,Paid,Yes,0,30,96.1,Completed
INT0129,Intern_129,19,Female,Graduate,Lahore,Data Science,6 Months,Unpaid,No,0,21,58.6,Completed
INT0130,Intern_130,25,Male,Graduate,Lahore,Legal,6 Months,Paid,No,0,38,70.0,Completed
INT0131,Intern_131,20,Female,Undergraduate,Multan,Marketing,6 Months,Paid,No,0,33,81.7,Completed
INT0132,Intern_132,20,Female,PhD,Islamabad,Sales,2 Months,Paid,No,0,10,62.8,Completed
INT0133,Intern_133,28,Male,PhD,Bahawalpur,Finance,2 Months,Unpaid,Yes,18,29,84.1,Completed
INT0134,Intern_134,26,Male,Graduate,Lahore,Legal,3 Months,Unpaid,No,0,41,65.1,Completed
INT0135,Intern_135,19,Male,Graduate,Bahawalpur,Engineering,1 Month,Unpaid,No,0,4,68.4,Enrolled
INT0136,Intern_136,28,Female,Graduate,Karachi,Engineering,1 Month,Unpaid,Yes,20,13,66.1,Completed
INT0137,Intern_137,27,Female,Undergraduate,Multan,Operations,2 Months,Paid,Yes,20,12,52.0,Completed
INT0138,Intern_138,25,Female,Graduate,Quetta,Operations,6 Months,Unpaid,Yes,10,44,79.9,Completed
INT0139,Intern_139,23,Male,PhD,Faisalabad,Data Science,1 Month,Unpaid,No,0,47,92.6,Completed
INT0140,Intern_140,23,Male,PhD,Islamabad,Legal,2 Months,Unpaid,No,0,42,84.9,Enrolled
INT0141,Intern_141,21,Female,PhD,Faisalabad,Design,2 Months,Unpaid,Yes,16,6,82.3,Enrolled
INT0142,Intern_142,24,Female,Graduate,Islamabad,Design,3 Months,Paid,Yes,15,13,61.3,Completed
INT0143,Intern_143,28,Female,Undergraduate,Karachi,Finance,2 Months,Unpaid,Yes,4,39,68.8,Completed
INT0144,Intern_144,22,Female,Undergraduate,Faisalabad,Finance,2 Months,Unpaid,Yes,14,40,64.2,Completed
INT0145,Intern_145,28,Female,Graduate,Peshawar,Operations,2 Months,Unpaid,Yes,14,30,88.5,Completed
INT0146,Intern_146,19,Male,PhD,Islamabad,Design,6 Months,Unpaid,Yes,20,31,93.7,Completed
INT0147,Intern_147,26,Female,Undergraduate,Islamabad,Sales,1 Month,Unpaid,Yes,16,10,91.6,Completed
INT0148,Intern_148,25,Female,Undergraduate,Faisalabad,Marketing,2 Months,Paid,No,0,33,68.7,Completed
INT0149,Intern_149,24,Male,Undergraduate,Multan,Design,1 Month,Paid,No,0,10,56.9,Completed
INT0150,Intern_150,19,Female,Graduate,Karachi,Engineering,6 Months,Paid,Yes,8,14,91.7,Completed
INT0151,Intern_151,19,Female,Undergraduate,Quetta,Sales,6 Months,Paid,Yes,7,27,81.9,Dropped
INT0152,Intern_152,21,Male,Graduate,Karachi,Legal,6 Months,Paid,Yes,9,28,50.1,Completed
INT0153,Intern_153,20,Male,PhD,Lahore,Data Science,2 Months,Unpaid,No,0,34,77.2,Completed
INT0154,Intern_154,23,Female,Undergraduate,Faisalabad,Sales,1 Month,Unpaid,No,0,48,50.8,Dropped
INT0155,Intern_155,19,Male,PhD,Multan,Marketing,3 Months,Paid,Yes,11,35,66.9,Enrolled
INT0156,Intern_156,19,Male,Undergraduate,Lahore,Finance,6 Months,Unpaid,No,0,19,60.1,Completed
INT0157,Intern_157,23,Female,PhD,Faisalabad,HR,1 Month,Unpaid,No,0,3,87.7,Dropped
INT0158,Intern_158,20,Male,PhD,Multan,HR,3 Months,Unpaid,No,0,24,71.8,Dropped
INT0159,Intern_159,24,Female,Undergraduate,Bahawalpur,Design,6 Months,Unpaid,No,0,34,63.3,Completed
INT0160,Intern_160,24,Female,PhD,Islamabad,Marketing,6 Months,Unpaid,Yes,3,6,66.4,Dropped
INT0161,Intern_161,26,Female,Undergraduate,Bahawalpur,Engineering,3 Months,Unpaid,No,0,3,86.3,Completed
INT0162,Intern_162,27,Male,Undergraduate,Faisalabad,Data Science,6 Months,Unpaid,No,0,48,84.0,Completed
INT0163,Intern_163,24,Male,Undergraduate,Lahore,IT,2 Months,Paid,No,0,24,69.1,Dropped
INT0164,Intern_164,20,Female,Graduate,Multan,Legal,1 Month,Unpaid,Yes,18,9,76.5,Completed
INT0165,Intern_165,26,Male,Undergraduate,Karachi,Design,3 Months,Paid,No,0,34,69.3,Completed
INT0166,Intern_166,28,Female,PhD,Bahawalpur,Sales,1 Month,Paid,No,0,19,84.7,Dropped
INT0167,Intern_167,26,Male,Undergraduate,Bahawalpur,Operations,2 Months,Paid,Yes,2,44,98.4,Completed
INT0168,Intern_168,24,Female,Graduate,Islamabad,Data Science,3 Months,Paid,Yes,16,15,56.1,Completed
